WKT,id,left,top,right,bottom,row_index,col_index
"POLYGON ((6637829.17692906 2284507.94649017,6645834.4262729 2284507.94649017,6645834.4262729 2276502.69714634,6637829.17692906 2276502.69714634,6637829.17692906 2284507.94649017))","1",6637829.17692906,2284507.94649017,6645834.4262729,2276502.69714634,"0","0"
"POLYGON ((6637829.17692906 2276502.69714634,6645834.4262729 2276502.69714634,6645834.4262729 2268497.4478025,6637829.17692906 2268497.4478025,6637829.17692906 2276502.69714634))","2",6637829.17692906,2276502.69714634,6645834.4262729,2268497.4478025,"1","0"
"POLYGON ((6637829.17692906 2268497.4478025,6645834.4262729 2268497.4478025,6645834.4262729 2260492.19845867,6637829.17692906 2260492.19845867,6637829.17692906 2268497.4478025))","3",6637829.17692906,2268497.4478025,6645834.4262729,2260492.19845867,"2","0"
"POLYGON ((6637829.17692906 2260492.19845867,6645834.4262729 2260492.19845867,6645834.4262729 2252486.94911484,6637829.17692906 2252486.94911484,6637829.17692906 2260492.19845867))","4",6637829.17692906,2260492.19845867,6645834.4262729,2252486.94911484,"3","0"
"POLYGON ((6637829.17692906 2252486.94911484,6645834.4262729 2252486.94911484,6645834.4262729 2244481.69977101,6637829.17692906 2244481.69977101,6637829.17692906 2252486.94911484))","5",6637829.17692906,2252486.94911484,6645834.4262729,2244481.69977101,"4","0"
"POLYGON ((6637829.17692906 2244481.69977101,6645834.4262729 2244481.69977101,6645834.4262729 2236476.45042718,6637829.17692906 2236476.45042718,6637829.17692906 2244481.69977101))","6",6637829.17692906,2244481.69977101,6645834.4262729,2236476.45042718,"5","0"
"POLYGON ((6637829.17692906 2236476.45042718,6645834.4262729 2236476.45042718,6645834.4262729 2228471.20108334,6637829.17692906 2228471.20108334,6637829.17692906 2236476.45042718))","7",6637829.17692906,2236476.45042718,6645834.4262729,2228471.20108334,"6","0"
"POLYGON ((6637829.17692906 2228471.20108334,6645834.4262729 2228471.20108334,6645834.4262729 2220465.95173951,6637829.17692906 2220465.95173951,6637829.17692906 2228471.20108334))","8",6637829.17692906,2228471.20108334,6645834.4262729,2220465.95173951,"7","0"
"POLYGON ((6637829.17692906 2220465.95173951,6645834.4262729 2220465.95173951,6645834.4262729 2212460.70239568,6637829.17692906 2212460.70239568,6637829.17692906 2220465.95173951))","9",6637829.17692906,2220465.95173951,6645834.4262729,2212460.70239568,"8","0"
"POLYGON ((6637829.17692906 2212460.70239568,6645834.4262729 2212460.70239568,6645834.4262729 2204455.45305185,6637829.17692906 2204455.45305185,6637829.17692906 2212460.70239568))","10",6637829.17692906,2212460.70239568,6645834.4262729,2204455.45305185,"9","0"
"POLYGON ((6637829.17692906 2204455.45305185,6645834.4262729 2204455.45305185,6645834.4262729 2196450.20370802,6637829.17692906 2196450.20370802,6637829.17692906 2204455.45305185))","11",6637829.17692906,2204455.45305185,6645834.4262729,2196450.20370802,"10","0"
"POLYGON ((6637829.17692906 2196450.20370802,6645834.4262729 2196450.20370802,6645834.4262729 2188444.95436418,6637829.17692906 2188444.95436418,6637829.17692906 2196450.20370802))","12",6637829.17692906,2196450.20370802,6645834.4262729,2188444.95436418,"11","0"
"POLYGON ((6637829.17692906 2188444.95436418,6645834.4262729 2188444.95436418,6645834.4262729 2180439.70502035,6637829.17692906 2180439.70502035,6637829.17692906 2188444.95436418))","13",6637829.17692906,2188444.95436418,6645834.4262729,2180439.70502035,"12","0"
"POLYGON ((6637829.17692906 2180439.70502035,6645834.4262729 2180439.70502035,6645834.4262729 2172434.45567652,6637829.17692906 2172434.45567652,6637829.17692906 2180439.70502035))","14",6637829.17692906,2180439.70502035,6645834.4262729,2172434.45567652,"13","0"
"POLYGON ((6637829.17692906 2172434.45567652,6645834.4262729 2172434.45567652,6645834.4262729 2164429.20633269,6637829.17692906 2164429.20633269,6637829.17692906 2172434.45567652))","15",6637829.17692906,2172434.45567652,6645834.4262729,2164429.20633269,"14","0"
"POLYGON ((6637829.17692906 2164429.20633269,6645834.4262729 2164429.20633269,6645834.4262729 2156423.95698886,6637829.17692906 2156423.95698886,6637829.17692906 2164429.20633269))","16",6637829.17692906,2164429.20633269,6645834.4262729,2156423.95698886,"15","0"
"POLYGON ((6637829.17692906 2156423.95698886,6645834.4262729 2156423.95698886,6645834.4262729 2148418.70764502,6637829.17692906 2148418.70764502,6637829.17692906 2156423.95698886))","17",6637829.17692906,2156423.95698886,6645834.4262729,2148418.70764502,"16","0"
"POLYGON ((6637829.17692906 2148418.70764502,6645834.4262729 2148418.70764502,6645834.4262729 2140413.45830119,6637829.17692906 2140413.45830119,6637829.17692906 2148418.70764502))","18",6637829.17692906,2148418.70764502,6645834.4262729,2140413.45830119,"17","0"
"POLYGON ((6637829.17692906 2140413.45830119,6645834.4262729 2140413.45830119,6645834.4262729 2132408.20895736,6637829.17692906 2132408.20895736,6637829.17692906 2140413.45830119))","19",6637829.17692906,2140413.45830119,6645834.4262729,2132408.20895736,"18","0"
"POLYGON ((6637829.17692906 2132408.20895736,6645834.4262729 2132408.20895736,6645834.4262729 2124402.95961353,6637829.17692906 2124402.95961353,6637829.17692906 2132408.20895736))","20",6637829.17692906,2132408.20895736,6645834.4262729,2124402.95961353,"19","0"
"POLYGON ((6637829.17692906 2124402.95961353,6645834.4262729 2124402.95961353,6645834.4262729 2116397.7102697,6637829.17692906 2116397.7102697,6637829.17692906 2124402.95961353))","21",6637829.17692906,2124402.95961353,6645834.4262729,2116397.7102697,"20","0"
"POLYGON ((6637829.17692906 2116397.7102697,6645834.4262729 2116397.7102697,6645834.4262729 2108392.46092586,6637829.17692906 2108392.46092586,6637829.17692906 2116397.7102697))","22",6637829.17692906,2116397.7102697,6645834.4262729,2108392.46092586,"21","0"
"POLYGON ((6637829.17692906 2108392.46092586,6645834.4262729 2108392.46092586,6645834.4262729 2100387.21158203,6637829.17692906 2100387.21158203,6637829.17692906 2108392.46092586))","23",6637829.17692906,2108392.46092586,6645834.4262729,2100387.21158203,"22","0"
"POLYGON ((6637829.17692906 2100387.21158203,6645834.4262729 2100387.21158203,6645834.4262729 2092381.9622382,6637829.17692906 2092381.9622382,6637829.17692906 2100387.21158203))","24",6637829.17692906,2100387.21158203,6645834.4262729,2092381.9622382,"23","0"
"POLYGON ((6637829.17692906 2092381.9622382,6645834.4262729 2092381.9622382,6645834.4262729 2084376.71289437,6637829.17692906 2084376.71289437,6637829.17692906 2092381.9622382))","25",6637829.17692906,2092381.9622382,6645834.4262729,2084376.71289437,"24","0"
"POLYGON ((6637829.17692906 2084376.71289437,6645834.4262729 2084376.71289437,6645834.4262729 2076371.46355054,6637829.17692906 2076371.46355054,6637829.17692906 2084376.71289437))","26",6637829.17692906,2084376.71289437,6645834.4262729,2076371.46355054,"25","0"
"POLYGON ((6645834.4262729 2284507.94649017,6653839.67561673 2284507.94649017,6653839.67561673 2276502.69714634,6645834.4262729 2276502.69714634,6645834.4262729 2284507.94649017))","27",6645834.4262729,2284507.94649017,6653839.67561673,2276502.69714634,"0","1"
"POLYGON ((6645834.4262729 2276502.69714634,6653839.67561673 2276502.69714634,6653839.67561673 2268497.4478025,6645834.4262729 2268497.4478025,6645834.4262729 2276502.69714634))","28",6645834.4262729,2276502.69714634,6653839.67561673,2268497.4478025,"1","1"
"POLYGON ((6645834.4262729 2268497.4478025,6653839.67561673 2268497.4478025,6653839.67561673 2260492.19845867,6645834.4262729 2260492.19845867,6645834.4262729 2268497.4478025))","29",6645834.4262729,2268497.4478025,6653839.67561673,2260492.19845867,"2","1"
"POLYGON ((6645834.4262729 2260492.19845867,6653839.67561673 2260492.19845867,6653839.67561673 2252486.94911484,6645834.4262729 2252486.94911484,6645834.4262729 2260492.19845867))","30",6645834.4262729,2260492.19845867,6653839.67561673,2252486.94911484,"3","1"
"POLYGON ((6645834.4262729 2252486.94911484,6653839.67561673 2252486.94911484,6653839.67561673 2244481.69977101,6645834.4262729 2244481.69977101,6645834.4262729 2252486.94911484))","31",6645834.4262729,2252486.94911484,6653839.67561673,2244481.69977101,"4","1"
"POLYGON ((6645834.4262729 2244481.69977101,6653839.67561673 2244481.69977101,6653839.67561673 2236476.45042718,6645834.4262729 2236476.45042718,6645834.4262729 2244481.69977101))","32",6645834.4262729,2244481.69977101,6653839.67561673,2236476.45042718,"5","1"
"POLYGON ((6645834.4262729 2236476.45042718,6653839.67561673 2236476.45042718,6653839.67561673 2228471.20108334,6645834.4262729 2228471.20108334,6645834.4262729 2236476.45042718))","33",6645834.4262729,2236476.45042718,6653839.67561673,2228471.20108334,"6","1"
"POLYGON ((6645834.4262729 2228471.20108334,6653839.67561673 2228471.20108334,6653839.67561673 2220465.95173951,6645834.4262729 2220465.95173951,6645834.4262729 2228471.20108334))","34",6645834.4262729,2228471.20108334,6653839.67561673,2220465.95173951,"7","1"
"POLYGON ((6645834.4262729 2220465.95173951,6653839.67561673 2220465.95173951,6653839.67561673 2212460.70239568,6645834.4262729 2212460.70239568,6645834.4262729 2220465.95173951))","35",6645834.4262729,2220465.95173951,6653839.67561673,2212460.70239568,"8","1"
"POLYGON ((6645834.4262729 2212460.70239568,6653839.67561673 2212460.70239568,6653839.67561673 2204455.45305185,6645834.4262729 2204455.45305185,6645834.4262729 2212460.70239568))","36",6645834.4262729,2212460.70239568,6653839.67561673,2204455.45305185,"9","1"
"POLYGON ((6645834.4262729 2204455.45305185,6653839.67561673 2204455.45305185,6653839.67561673 2196450.20370802,6645834.4262729 2196450.20370802,6645834.4262729 2204455.45305185))","37",6645834.4262729,2204455.45305185,6653839.67561673,2196450.20370802,"10","1"
"POLYGON ((6645834.4262729 2196450.20370802,6653839.67561673 2196450.20370802,6653839.67561673 2188444.95436418,6645834.4262729 2188444.95436418,6645834.4262729 2196450.20370802))","38",6645834.4262729,2196450.20370802,6653839.67561673,2188444.95436418,"11","1"
"POLYGON ((6645834.4262729 2188444.95436418,6653839.67561673 2188444.95436418,6653839.67561673 2180439.70502035,6645834.4262729 2180439.70502035,6645834.4262729 2188444.95436418))","39",6645834.4262729,2188444.95436418,6653839.67561673,2180439.70502035,"12","1"
"POLYGON ((6645834.4262729 2180439.70502035,6653839.67561673 2180439.70502035,6653839.67561673 2172434.45567652,6645834.4262729 2172434.45567652,6645834.4262729 2180439.70502035))","40",6645834.4262729,2180439.70502035,6653839.67561673,2172434.45567652,"13","1"
"POLYGON ((6645834.4262729 2172434.45567652,6653839.67561673 2172434.45567652,6653839.67561673 2164429.20633269,6645834.4262729 2164429.20633269,6645834.4262729 2172434.45567652))","41",6645834.4262729,2172434.45567652,6653839.67561673,2164429.20633269,"14","1"
"POLYGON ((6645834.4262729 2164429.20633269,6653839.67561673 2164429.20633269,6653839.67561673 2156423.95698886,6645834.4262729 2156423.95698886,6645834.4262729 2164429.20633269))","42",6645834.4262729,2164429.20633269,6653839.67561673,2156423.95698886,"15","1"
